0	0.999	1.024	0.987	1.026	0.999	0.958	0.954	1.033
1	0.999	1.025	0.987	1.027	0.999	0.958	0.955	1.035
2	0.999	1.025	0.988	1.027	0.999	0.959	0.955	1.038
3	0.999	1.025	0.987	1.028	0.999	0.958	0.955	1.042
4	0.999	1.025	0.987	1.029	0.999	0.958	0.955	1.044
5	0.998	1.025	0.988	1.031	0.999	0.958	0.956	1.049
6	0.999	1.025	0.987	1.032	0.999	0.958	0.956	1.053
7	0.998	1.025	0.987	1.033	0.999	0.958	0.956	1.058
8	0.998	1.024	0.987	1.034	0.999	0.958	0.957	1.063
9	0.998	1.025	0.988	1.036	0.999	0.959	0.957	1.071
10	0.999	1.025	0.989	1.038	1.000	0.959	0.959	1.078
11	0.998	1.025	0.989	1.040	0.999	0.959	0.959	1.086
12	0.999	1.025	0.989	1.042	0.999	0.959	0.958	1.097
13	0.999	1.025	0.989	1.046	0.999	0.959	0.960	1.107
14	0.998	1.025	0.990	1.048	1.000	0.958	0.960	1.120
15	0.999	1.025	0.989	1.052	0.999	0.959	0.962	1.134
16	0.998	1.025	0.990	1.055	0.999	0.958	0.962	1.150
17	0.999	1.025	0.992	1.061	0.999	0.959	0.963	1.168
18	0.998	1.025	0.991	1.066	1.000	0.960	0.964	1.188
19	0.999	1.026	0.992	1.072	0.999	0.959	0.966	1.212
20	0.998	1.025	0.992	1.080	0.999	0.959	0.967	1.236
21	0.999	1.025	0.992	1.089	1.001	0.960	0.969	1.263
22	0.999	1.026	0.994	1.098	0.999	0.960	0.971	1.290
23	0.999	1.026	0.994	1.110	1.000	0.960	0.972	1.319
24	0.998	1.026	0.995	1.123	0.999	0.961	0.975	1.342
25	0.999	1.025	0.997	1.139	1.000	0.960	0.977	1.357
26	0.999	1.027	0.998	1.158	1.000	0.962	0.981	1.360
27	0.999	1.026	0.998	1.179	1.001	0.961	0.985	1.341
28	0.998	1.027	1.000	1.204	1.000	0.962	0.988	1.293
29	1.000	1.027	1.001	1.235	1.000	0.962	0.994	1.209
30	0.999	1.027	1.003	1.269	1.001	0.962	0.998	1.096
31	0.999	1.027	1.004	1.309	1.000	0.963	1.004	0.964
32	0.999	1.027	1.006	1.356	1.001	0.964	1.010	0.840
33	0.999	1.027	1.009	1.409	1.000	0.964	1.019	0.739
34	0.999	1.028	1.012	1.467	1.001	0.965	1.027	0.672
35	0.999	1.029	1.015	1.531	1.001	0.966	1.037	0.637
36	0.999	1.028	1.019	1.588	1.001	0.966	1.050	0.628
37	1.000	1.029	1.023	1.627	1.001	0.967	1.062	0.640
38	0.999	1.030	1.027	1.627	1.001	0.968	1.079	0.663
39	1.000	1.030	1.033	1.552	1.002	0.970	1.098	0.692
40	0.999	1.030	1.039	1.376	1.002	0.971	1.118	0.724
41	1.000	1.031	1.046	1.107	1.003	0.973	1.142	0.754
42	1.000	1.031	1.055	0.810	1.002	0.974	1.168	0.784
43	1.000	1.032	1.065	0.569	1.003	0.977	1.195	0.811
44	1.001	1.033	1.077	0.427	1.003	0.979	1.223	0.836
45	1.000	1.034	1.090	0.380	1.004	0.981	1.251	0.856
46	1.000	1.035	1.106	0.394	1.003	0.983	1.274	0.876
47	1.001	1.036	1.124	0.443	1.004	0.988	1.284	0.892
48	1.000	1.037	1.147	0.504	1.004	0.992	1.278	0.907
49	1.001	1.039	1.172	0.568	1.005	0.996	1.245	0.920
50	1.001	1.040	1.201	0.628	1.005	1.001	1.178	0.931
51	1.001	1.042	1.238	0.681	1.006	1.007	1.077	0.941
52	1.001	1.044	1.278	0.727	1.007	1.013	0.956	0.948
53	1.001	1.046	1.325	0.770	1.007	1.021	0.836	0.956
54	1.002	1.049	1.376	0.804	1.008	1.030	0.733	0.962
55	1.003	1.051	1.434	0.836	1.009	1.040	0.662	0.968
56	1.002	1.055	1.492	0.861	1.010	1.050	0.625	0.973
57	1.003	1.060	1.545	0.883	1.011	1.064	0.615	0.976
58	1.003	1.064	1.583	0.901	1.012	1.078	0.625	0.980
59	1.003	1.069	1.582	0.917	1.013	1.095	0.645	0.983
60	1.004	1.074	1.503	0.931	1.014	1.114	0.671	0.986
61	1.004	1.080	1.331	0.941	1.016	1.136	0.698	0.989
62	1.006	1.088	1.081	0.951	1.019	1.161	0.727	0.990
63	1.006	1.097	0.801	0.960	1.020	1.187	0.753	0.993
64	1.006	1.107	0.572	0.967	1.022	1.217	0.777	0.994
65	1.007	1.119	0.433	0.974	1.024	1.246	0.798	0.996
66	1.008	1.132	0.378	0.979	1.028	1.277	0.816	0.997
67	1.009	1.147	0.385	0.983	1.031	1.302	0.834	0.999
68	1.010	1.165	0.425	0.987	1.034	1.318	0.849	1.000
69	1.011	1.187	0.481	0.991	1.038	1.318	0.861	1.001
70	1.013	1.211	0.540	0.994	1.043	1.290	0.872	1.002
71	1.013	1.240	0.594	0.997	1.048	1.232	0.883	1.002
72	1.015	1.273	0.646	0.999	1.054	1.135	0.891	1.003
73	1.017	1.311	0.691	1.001	1.061	1.014	0.898	1.003
74	1.019	1.354	0.730	1.003	1.069	0.884	0.905	1.003
75	1.022	1.403	0.763	1.005	1.077	0.770	0.910	1.005
76	1.023	1.455	0.793	1.006	1.087	0.684	0.915	1.005
77	1.027	1.508	0.818	1.007	1.099	0.634	0.920	1.005
78	1.030	1.556	0.840	1.008	1.112	0.612	0.923	1.005
79	1.034	1.590	0.858	1.009	1.127	0.612	0.927	1.007
80	1.038	1.586	0.873	1.010	1.143	0.626	0.930	1.007
81	1.043	1.516	0.887	1.010	1.163	0.649	0.932	1.007
82	1.048	1.366	0.899	1.012	1.184	0.675	0.935	1.007
83	1.055	1.140	0.908	1.012	1.208	0.702	0.936	1.008
84	1.062	0.888	0.917	1.012	1.231	0.729	0.939	1.009
85	1.071	0.669	0.925	1.013	1.258	0.752	0.940	1.008
86	1.081	0.521	0.931	1.014	1.284	0.775	0.941	1.008
87	1.093	0.455	0.937	1.014	1.309	0.796	0.943	1.008
88	1.106	0.450	0.942	1.015	1.324	0.815	0.944	1.009
89	1.121	0.480	0.946	1.015	1.329	0.830	0.945	1.008
90	1.139	0.525	0.950	1.016	1.319	0.844	0.946	1.008
91	1.160	0.578	0.953	1.015	1.283	0.857	0.946	1.009
92	1.184	0.630	0.956	1.015	1.216	0.868	0.947	1.009
93	1.211	0.680	0.958	1.016	1.117	0.878	0.948	1.010
94	1.242	0.725	0.962	1.016	1.001	0.887	0.949	1.010
95	1.277	0.763	0.962	1.016	0.885	0.894	0.949	1.009
96	1.316	0.797	0.965	1.017	0.784	0.902	0.949	1.010
97	1.355	0.826	0.966	1.017	0.711	0.908	0.950	1.009
98	1.395	0.852	0.967	1.018	0.670	0.912	0.951	1.009
99	1.429	0.873	0.968	1.017	0.654	0.916	0.952	1.010
100	1.449	0.892	0.969	1.017	0.658	0.921	0.951	1.011
101	1.439	0.908	0.971	1.018	0.675	0.924	0.952	1.010
102	1.378	0.923	0.971	1.018	0.698	0.927	0.952	1.010
103	1.256	0.934	0.972	1.018	0.724	0.930	0.952	1.010
104	1.085	0.944	0.973	1.018	0.752	0.933	0.952	1.010
105	0.892	0.954	0.974	1.018	0.777	0.935	0.952	1.010
106	0.722	0.962	0.974	1.018	0.801	0.938	0.953	1.010
107	0.605	0.969	0.975	1.018	0.824	0.938	0.953	1.011
108	0.548	0.973	0.974	1.019	0.844	0.941	0.954	1.010
109	0.535	0.980	0.976	1.018	0.862	0.942	0.953	1.010
110	0.551	0.983	0.976	1.019	0.877	0.943	0.953	1.011
111	0.586	0.988	0.977	1.019	0.892	0.944	0.954	1.010
112	0.626	0.991	0.977	1.019	0.903	0.946	0.953	1.011
113	0.669	0.994	0.977	1.019	0.915	0.946	0.953	1.011
114	0.708	0.997	0.977	1.019	0.923	0.947	0.954	1.011
115	0.744	0.999	0.978	1.018	0.932	0.948	0.954	1.010
116	0.776	1.001	0.978	1.019	0.939	0.949	0.954	1.010
117	0.805	1.003	0.978	1.019	0.946	0.949	0.953	1.010
118	0.830	1.005	0.979	1.019	0.951	0.951	0.954	1.011
119	0.851	1.006	0.978	1.019	0.957	0.951	0.954	1.010
120	0.869	1.007	0.979	1.019	0.961	0.951	0.954	1.010
121	0.885	1.009	0.979	1.019	0.965	0.952	0.954	1.011
122	0.899	1.010	0.979	1.019	0.968	0.952	0.955	1.011
123	0.912	1.011	0.979	1.019	0.971	0.953	0.955	1.011
124	0.921	1.012	0.979	1.019	0.973	0.952	0.954	1.011
125	0.931	1.013	0.979	1.019	0.976	0.953	0.955	1.012
126	0.938	1.013	0.979	1.020	0.979	0.954	0.955	1.011
127	0.946	1.013	0.980	1.019	0.980	0.954	0.955	1.011
128	0.951	1.013	0.980	1.019	0.982	0.954	0.955	1.010
129	0.957	1.015	0.980	1.019	0.984	0.954	0.955	1.011
130	0.960	1.014	0.980	1.019	0.985	0.954	0.954	1.011
131	0.964	1.016	0.980	1.019	0.986	0.954	0.954	1.011
132	0.968	1.015	0.980	1.019	0.986	0.954	0.955	1.011
133	0.971	1.016	0.980	1.019	0.987	0.955	0.955	1.010
134	0.974	1.016	0.981	1.020	0.989	0.955	0.954	1.011
135	0.977	1.016	0.981	1.019	0.989	0.956	0.955	1.011
136	0.978	1.017	0.980	1.020	0.990	0.956	0.955	1.011
