-68,0.999,1.024,0.987,1.026,0.999,0.958,0.954,1.033
-67,0.999,1.025,0.987,1.027,0.999,0.958,0.955,1.035
-66,0.999,1.025,0.988,1.027,0.999,0.959,0.955,1.038
-65,0.999,1.025,0.987,1.028,0.999,0.958,0.955,1.042
-64,0.999,1.025,0.987,1.029,0.999,0.958,0.955,1.044
-63,0.998,1.025,0.988,1.031,0.999,0.958,0.956,1.049
-62,0.999,1.025,0.987,1.032,0.999,0.958,0.956,1.053
-61,0.998,1.025,0.987,1.033,0.999,0.958,0.956,1.058
-60,0.998,1.024,0.987,1.034,0.999,0.958,0.957,1.063
-59,0.998,1.025,0.988,1.036,0.999,0.959,0.957,1.071
-58,0.999,1.025,0.989,1.038,1,0.959,0.959,1.078
-57,0.998,1.025,0.989,1.04,0.999,0.959,0.959,1.086
-56,0.999,1.025,0.989,1.042,0.999,0.959,0.958,1.097
-55,0.999,1.025,0.989,1.046,0.999,0.959,0.96,1.107
-54,0.998,1.025,0.99,1.048,1,0.958,0.96,1.12
-53,0.999,1.025,0.989,1.052,0.999,0.959,0.962,1.134
-52,0.998,1.025,0.99,1.055,0.999,0.958,0.962,1.15
-51,0.999,1.025,0.992,1.061,0.999,0.959,0.963,1.168
-50,0.998,1.025,0.991,1.066,1,0.96,0.964,1.188
-49,0.999,1.026,0.992,1.072,0.999,0.959,0.966,1.212
-48,0.998,1.025,0.992,1.08,0.999,0.959,0.967,1.236
-47,0.999,1.025,0.992,1.089,1.001,0.96,0.969,1.263
-46,0.999,1.026,0.994,1.098,0.999,0.96,0.971,1.29
-45,0.999,1.026,0.994,1.11,1,0.96,0.972,1.319
-44,0.998,1.026,0.995,1.123,0.999,0.961,0.975,1.342
-43,0.999,1.025,0.997,1.139,1,0.96,0.977,1.357
-42,0.999,1.027,0.998,1.158,1,0.962,0.981,1.36
-41,0.999,1.026,0.998,1.179,1.001,0.961,0.985,1.341
-40,0.998,1.027,1,1.204,1,0.962,0.988,1.293
-39,1,1.027,1.001,1.235,1,0.962,0.994,1.209
-38,0.999,1.027,1.003,1.269,1.001,0.962,0.998,1.096
-37,0.999,1.027,1.004,1.309,1,0.963,1.004,0.964
-36,0.999,1.027,1.006,1.356,1.001,0.964,1.01,0.84
-35,0.999,1.027,1.009,1.409,1,0.964,1.019,0.739
-34,0.999,1.028,1.012,1.467,1.001,0.965,1.027,0.672
-33,0.999,1.029,1.015,1.531,1.001,0.966,1.037,0.637
-32,0.999,1.028,1.019,1.588,1.001,0.966,1.05,0.628
-31,1,1.029,1.023,1.627,1.001,0.967,1.062,0.64
-30,0.999,1.03,1.027,1.627,1.001,0.968,1.079,0.663
-29,1,1.03,1.033,1.552,1.002,0.97,1.098,0.692
-28,0.999,1.03,1.039,1.376,1.002,0.971,1.118,0.724
-27,1,1.031,1.046,1.107,1.003,0.973,1.142,0.754
-26,1,1.031,1.055,0.81,1.002,0.974,1.168,0.784
-25,1,1.032,1.065,0.569,1.003,0.977,1.195,0.811
-24,1.001,1.033,1.077,0.427,1.003,0.979,1.223,0.836
-23,1,1.034,1.09,0.38,1.004,0.981,1.251,0.856
-22,1,1.035,1.106,0.394,1.003,0.983,1.274,0.876
-21,1.001,1.036,1.124,0.443,1.004,0.988,1.284,0.892
-20,1,1.037,1.147,0.504,1.004,0.992,1.278,0.907
-19,1.001,1.039,1.172,0.568,1.005,0.996,1.245,0.92
-18,1.001,1.04,1.201,0.628,1.005,1.001,1.178,0.931
-17,1.001,1.042,1.238,0.681,1.006,1.007,1.077,0.941
-16,1.001,1.044,1.278,0.727,1.007,1.013,0.956,0.948
-15,1.001,1.046,1.325,0.77,1.007,1.021,0.836,0.956
-14,1.002,1.049,1.376,0.804,1.008,1.03,0.733,0.962
-13,1.003,1.051,1.434,0.836,1.009,1.04,0.662,0.968
-12,1.002,1.055,1.492,0.861,1.01,1.05,0.625,0.973
-11,1.003,1.06,1.545,0.883,1.011,1.064,0.615,0.976
-10,1.003,1.064,1.583,0.901,1.012,1.078,0.625,0.98
-9,1.003,1.069,1.582,0.917,1.013,1.095,0.645,0.983
-8,1.004,1.074,1.503,0.931,1.014,1.114,0.671,0.986
-7,1.004,1.08,1.331,0.941,1.016,1.136,0.698,0.989
-6,1.006,1.088,1.081,0.951,1.019,1.161,0.727,0.99
-5,1.006,1.097,0.801,0.96,1.02,1.187,0.753,0.993
-4,1.006,1.107,0.572,0.967,1.022,1.217,0.777,0.994
-3,1.007,1.119,0.433,0.974,1.024,1.246,0.798,0.996
-2,1.008,1.132,0.378,0.979,1.028,1.277,0.816,0.997
-1,1.009,1.147,0.385,0.983,1.031,1.302,0.834,0.999
0,1.01,1.165,0.425,0.987,1.034,1.318,0.849,1
1,1.011,1.187,0.481,0.991,1.038,1.318,0.861,1.001
2,1.013,1.211,0.54,0.994,1.043,1.29,0.872,1.002
3,1.013,1.24,0.594,0.997,1.048,1.232,0.883,1.002
4,1.015,1.273,0.646,0.999,1.054,1.135,0.891,1.003
5,1.017,1.311,0.691,1.001,1.061,1.014,0.898,1.003
6,1.019,1.354,0.73,1.003,1.069,0.884,0.905,1.003
7,1.022,1.403,0.763,1.005,1.077,0.77,0.91,1.005
8,1.023,1.455,0.793,1.006,1.087,0.684,0.915,1.005
9,1.027,1.508,0.818,1.007,1.099,0.634,0.92,1.005
10,1.03,1.556,0.84,1.008,1.112,0.612,0.923,1.005
11,1.034,1.59,0.858,1.009,1.127,0.612,0.927,1.007
12,1.038,1.586,0.873,1.01,1.143,0.626,0.93,1.007
13,1.043,1.516,0.887,1.01,1.163,0.649,0.932,1.007
14,1.048,1.366,0.899,1.012,1.184,0.675,0.935,1.007
15,1.055,1.14,0.908,1.012,1.208,0.702,0.936,1.008
16,1.062,0.888,0.917,1.012,1.231,0.729,0.939,1.009
17,1.071,0.669,0.925,1.013,1.258,0.752,0.94,1.008
18,1.081,0.521,0.931,1.014,1.284,0.775,0.941,1.008
19,1.093,0.455,0.937,1.014,1.309,0.796,0.943,1.008
20,1.106,0.45,0.942,1.015,1.324,0.815,0.944,1.009
21,1.121,0.48,0.946,1.015,1.329,0.83,0.945,1.008
22,1.139,0.525,0.95,1.016,1.319,0.844,0.946,1.008
23,1.16,0.578,0.953,1.015,1.283,0.857,0.946,1.009
24,1.184,0.63,0.956,1.015,1.216,0.868,0.947,1.009
25,1.211,0.68,0.958,1.016,1.117,0.878,0.948,1.01
26,1.242,0.725,0.962,1.016,1.001,0.887,0.949,1.01
27,1.277,0.763,0.962,1.016,0.885,0.894,0.949,1.009
